,movie_name,year,runtime,genre,rating,votes,gross(in $)
0,Knives Out,2019,130 min,thriller,7.9,705622.0,165359751.0
1,The Hunger Games,2012,142 min,thriller,7.2,927499.0,408010692.0
2,The Dark Knight,2008,152 min,thriller,9.0,2675531.0,534858444.0
3,Inception,2010,148 min,thriller,8.8,2373682.0,292576195.0
4,Black Swan,2010,108 min,thriller,8.0,776577.0,106954678.0
5,Midsommar,2019,148 min,thriller,7.1,335439.0,27331977.0
6,The Black Phone,2021,103 min,thriller,6.9,151936.0,90123230.0
7,John Wick,2014,101 min,thriller,7.4,644257.0,43037835.0
8,Blade Runner 2049,2017,164 min,thriller,8.0,586274.0,92054159.0
9,Hereditary,2018,127 min,thriller,7.3,328830.0,44069456.0
10,F9: The Fast Saga,2021,143 min,thriller,5.2,136715.0,173202780.0
11,Parasite,2019,132 min,thriller,8.5,822000.0,53367844.0
12,Nobody,2021,92 min,thriller,7.4,262223.0,27268035.0
13,Prisoners,2013,153 min,thriller,8.1,728343.0,61002302.0
14,Joker,2019,122 min,thriller,8.4,1310698.0,335451311.0
15,The Fast and the Furious,2001,106 min,thriller,6.8,391178.0,144533925.0
16,In Bruges,2008,107 min,thriller,7.9,437029.0,7757130.0
17,No Country for Old Men,2007,122 min,thriller,8.2,984447.0,74283625.0
18,No Time to Die,2021,163 min,thriller,7.3,409290.0,160869031.0
19,Shutter Island,2010,138 min,thriller,8.2,1332201.0,128012934.0
20,Se7en,1995,127 min,thriller,8.6,1668095.0,100125643.0
21,Tenet,2020,150 min,thriller,7.3,516824.0,58456624.0
22,Split,2016,117 min,thriller,7.3,508069.0,138291365.0
23,The Silence of the Lambs,1991,118 min,thriller,8.6,1444522.0,130742922.0
24,Fifty Shades of Grey,2015,125 min,thriller,4.2,323286.0,166167230.0
25,Dunkirk,2017,106 min,thriller,7.8,669727.0,188373161.0
26,The Departed,2006,151 min,thriller,8.5,1335810.0,132384315.0
27,Gone Girl,2014,149 min,thriller,8.1,993335.0,167767189.0
28,The Prestige,2006,130 min,thriller,8.5,1344449.0,53089891.0
29,Get Out,2017,104 min,thriller,7.7,624515.0,176040665.0
30,Jurassic Park,1993,127 min,thriller,8.2,998360.0,402453882.0
31,Kingsman: The Golden Circle,2017,141 min,thriller,6.7,334948.0,100234838.0
32,The Lighthouse,2019,109 min,thriller,7.4,223508.0,427797.0
33,The Hunger Games: Catching Fire,2013,146 min,thriller,7.5,672299.0,424668047.0
34,Irreversible,2002,97 min,thriller,7.3,138385.0,753501.0
35,Léon: The Professional,1994,110 min,thriller,8.5,1171574.0,19501238.0
36,Mad Max: Fury Road,2015,120 min,thriller,8.1,1013606.0,154058340.0
37,Road House,1989,114 min,thriller,6.6,77537.0,30050028.0
38,The Visit,2015,94 min,thriller,6.2,138344.0,65206105.0
39,GoldenEye,1995,130 min,thriller,7.2,260551.0,106600000.0
40,The Cabin in the Woods,2011,95 min,thriller,7.0,425201.0,42073277.0
41,Sicario,2015,121 min,thriller,7.6,437874.0,46889293.0
42,The Sixth Sense,1999,107 min,thriller,8.2,999364.0,293506292.0
43,Oldboy,2003,120 min,thriller,8.4,586033.0,707481.0
44,Deliverance,1972,109 min,thriller,7.7,112173.0,7056013.0
45,Memento,2000,113 min,thriller,8.4,1247771.0,25544867.0
46,The Lobster,2015,119 min,thriller,7.1,263513.0,8699235.0
47,Kingsman: The Secret Service,2014,129 min,thriller,7.7,675476.0,128261724.0
48,The Usual Suspects,1995,106 min,thriller,8.5,1092586.0,23341568.0
49,The Butterfly Effect,2004,113 min,thriller,7.6,495645.0,57938693.0
50,John Wick: Chapter 3 - Parabellum,2019,130 min,thriller,7.4,352539.0,171015687.0
51,Eyes Wide Shut,1999,159 min,thriller,7.5,348395.0,55691208.0
52,Signs,2002,106 min,thriller,6.8,368336.0,227966634.0
53,Blade Runner,1982,117 min,thriller,8.1,777470.0,32868943.0
54,Mission: Impossible - Fallout,2018,147 min,thriller,7.7,338316.0,220159104.0
55,Brothers,2009,105 min,thriller,7.1,132357.0,28501651.0
56,Ex Machina,2014,108 min,thriller,7.7,552892.0,25442958.0
57,True Lies,1994,141 min,thriller,7.3,264372.0,146282411.0
58,Reservoir Dogs,1992,99 min,thriller,8.3,1027840.0,2832029.0
59,Mystic River,2003,138 min,thriller,7.9,462129.0,90135191.0
60,Red Sparrow,2018,140 min,thriller,6.6,189790.0,46874505.0
61,Aliens,1986,137 min,thriller,8.4,723705.0,85160248.0
62,John Wick: Chapter 2,2017,122 min,thriller,7.4,441113.0,92029184.0
63,The Village,2004,108 min,thriller,6.6,265580.0,114197520.0
64,Passengers,2016,116 min,thriller,7.0,413450.0,100014699.0
65,Enough,2002,115 min,thriller,5.7,44930.0,40007742.0
66,Heavenly Creatures,1994,99 min,thriller,7.3,64820.0,3049135.0
67,Road to Perdition,2002,117 min,thriller,7.7,272542.0,104454762.0
68,Casino Royale,2006,144 min,thriller,8.0,664141.0,167445960.0
69,Donnie Darko,2001,113 min,thriller,8.0,809597.0,1480006.0
70,Clue,1985,94 min,thriller,7.2,100065.0,14643997.0
71,The Day After Tomorrow,2004,124 min,thriller,6.4,454986.0,186740799.0
